date,new_cases
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,1
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,0
2020-01-26,1
2020-01-27,0
2020-01-28,1
2020-01-29,3
2020-01-30,4
2020-01-31,3
2020-02-01,1
2020-02-02,4
2020-02-03,1
2020-02-04,0
2020-02-05,5
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,4
2020-02-14,1
2020-02-15,8
2020-02-16,14
2020-02-17,7
2020-02-18,0
2020-02-19,7
2020-02-20,18
2020-02-21,9
2020-02-22,12
2020-02-23,27
2020-02-24,12
2020-02-25,0
2020-02-26,20
2020-02-27,22
2020-02-28,24
2020-02-29,20
2020-03-01,9
2020-03-02,15
2020-03-03,0
2020-03-04,14
2020-03-05,49
2020-03-06,32
2020-03-07,59
2020-03-08,47
2020-03-09,33
2020-03-10,26
2020-03-11,54
2020-03-12,51
2020-03-13,56
2020-03-14,62
2020-03-15,43
2020-03-16,34
2020-03-17,10
2020-03-18,5
2020-03-19,44
2020-03-20,77
2020-03-21,57
2020-03-22,39
2020-03-23,43
2020-03-24,39
2020-03-25,65
2020-03-26,75
2020-03-27,96
2020-03-28,135
2020-03-29,194
2020-03-30,173
2020-03-31,87
2020-04-01,0
2020-04-02,225
2020-04-03,439
2020-04-04,318
2020-04-05,336
2020-04-06,383
2020-04-07,163
2020-04-08,89
2020-04-09,351
2020-04-10,410
2020-04-11,680
2020-04-12,1401
2020-04-13,507
2020-04-14,390
2020-04-15,455
2020-04-16,482
2020-04-17,585
2020-04-18,628
2020-04-19,566
2020-04-20,390
2020-04-21,367
2020-04-22,378
2020-04-23,276
2020-04-24,468
2020-04-25,652
2020-04-26,290
2020-04-27,203
2020-04-28,191
2020-04-29,276
2020-04-30,236
2020-05-01,193
2020-05-02,263
2020-05-03,295
2020-05-04,218
2020-05-05,174
2020-05-06,123
2020-05-07,109
2020-05-08,84
2020-05-09,81
2020-05-10,119
2020-05-11,51
2020-05-12,76
2020-05-13,150
2020-05-14,55
2020-05-15,114
2020-05-16,44
2020-05-17,48
2020-05-18,20
2020-05-19,60
2020-05-20,20
2020-05-21,39
2020-05-22,89
2020-05-23,23
2020-05-24,14
2020-05-25,31
2020-05-26,42
2020-05-27,28
2020-05-28,0
2020-05-29,68
2020-05-30,85
2020-05-31,47
2020-06-01,33
2020-06-02,46
2020-06-03,56
2020-06-04,32
2020-06-05,46
2020-06-06,39
2020-06-07,38
2020-06-08,33
